skr sekarang
meneketehe saya tidak tahu
miapah untuk alasan apa
mimin administrator
min administrator
mingkem bibir tertutup
mbulet rumit
mo ingin
moge motor gede
montok seksi
muke muka
mulet meregangkan
muncrat muncrat
muter berputar
najong najis
naksir naksir seseorang
narsis narsis diri
narso narsis diri
ndak tidak
ndas kepala
nenen menyusui
netek menyusui
ngabur melarikan diri
ngacir melarikan diri
ngakak tertawa terbahak-bahak
ngambek ngambek
ngana kamu
ngapak bahasa yang biasanya digunakan di banyumas
ngasih memberikan
ngeblog menulis blog
ngebut cepat
ngedumel merengek
ngeledek menggertak
ngelonin memeluk
ngeloni memeluk
ngemeng mengatakan
ngomong mengatakan
ngenes tragis
ngentot keparat
ngentut kentut
ngewe ngewek
nggak  tidak
nggilani menjijikkan
ngibul berbohong
ngiler ngiler
ngobrol obrolan
ngocol bercanda
ngojek naik ojek
ngomel mengomel
ngos-ngosan sengal-sengal
ngupil mengupil
nimbrung ikuti
nongkrong bergaul
norak norak
nyepong seks oral
nyinyir skeptis
nyipok ciuman
nyokap ibu
obrol obrolan
ogah tidak
ojek taksi motor
onyet monyet
otewe otw
pake menggunakan
pala pucat
panlok panda lokal
pd percaya diri
pe de percaya diri
pdkt menggoda seseorang
pecun pelacur 
peler buah pelir
pembokat pembantu rumah tangga
pengen pengin
pentil puting susu
perak rupiah (mata uang indonesia)
pertamax komentar pertama di forum online
pere wanita
perek pelacur
pesing baunya tidak enak
peyang bentuk kepala tidak sempurna / asimetris
php melanggar janji
pilon  berpura-pura
plin-plan plin plan
plis silahkan
poto foto
prikitiew lucu
pundung marah
puter berputar
q saya
rapopo oke 
rasain melayani anda dengan benar
rempong rumit
sakaw kecanduan
sange horny
sakaw horny
ngentot horny
sante bersantai
sarap gila
say terhormat
segede gaban sangat besar
selangit atas dunia
semok seksi
sempak pakaian dalam
sepele tidak penting
sepong seks oral
serak-serak basah serak
seupil sangat kecil
sialan sial
sinting gila
situ sana
sithik sedikit
sob kawan
sok silahkan
sok terlalu percaya diri
somplak rusak
somse sekali lagi
songong sombong
sontoloyo bodoh
sotosop photoshoped
sotoy  smart aleck
sumpeh loe betulkah?
sutralah terserah kamu
tabok menampar
tae  taek
takis untuk mengambil sesuatu
tampol menampar
tajeer kaya
tajir kaya
tau tahu
telmi seseorang yang sedikit lambat dalam uptake
temen teman
tempik vagina
tetek payudara
titit penis
tmn teman
toge toket gede
tokai kotoran
toket payudara
tongpes bangkrut
toyor dorong kepala seseorang
tp tapi
ttp masih
tumben bertentangan dengan kebiasaan
ucul lucu
udah sudah
ughlala oh la la
unyu imut
upil ingus
utk untuk
uwel-uwel bersenang-senang dengan rambut
uyel-uyel  bersenang-senang dengan rambut
vroh kawan
wa watsap
wakaka wkwkwk
waslap serbet
woles lambat
yaelah  ya ampun
yakeleus betulkah
yawla oh tuhan!
yey kamu
yg adalah
yoa yoi
